district_id,latitude,longitude,geocode_status,geocode_match_type,matched_address,tiger_line_id,side,input_address
043919,33.08752169722,-96.590941295949,Match,Non_Exact,"259 COUNTRY CLUB RD, ALLEN, TX, 75002",614161745,R,"259 COUNTRY CLUB RD, ALLEN, TX, 75002-7643"
044902,34.849043754527,-100.216496652308,Match,Non_Exact,"609 15TH ST, WELLINGTON, TX, 79095",164593261,R,"609 15TH ST, WELLINGTON, TX, 79095-3603"
045902,29.704094771191,-96.563486520327,Match,Non_Exact,"105 CARDINAL LN, COLUMBUS, TX, 78934",41167503,R,"105 CARDINAL LN, COLUMBUS, TX, 78934-0578"
045905,29.702152777369,-96.798712725227,Match,Non_Exact,"1189 HWY 90, WEIMAR, TX, 78962",41190108,L,"1189 HWY 90 W, WEIMAR, TX, 78962-1907"
046802,30.335611248587,-97.670013052943,Match,Non_Exact,"8305 CROSS PARK DR, AUSTIN, TX, 78754",63935063,R,"8305 CROSS PARK DR, AUSTIN, TX, 78714"
046901,29.705444732396,-98.141722639774,Match,Non_Exact,"1000 N WALNUT AVE, NEW BRAUNFELS, TX, 78130",72244932,L,"1000 N WALNUT, NEW BRAUNFELS, TX, 78130"
046902,29.687241242672,-98.131706062834,Match,Non_Exact,"1404 I- 35 BUS, NEW BRAUNFELS, TX, 78130",72250631,L,"1404 IH 35 N, NEW BRAUNFELS, TX, 78130-3240"
047901,31.911278773489,-98.597557012648,Match,Non_Exact,"1507 N AUSTIN ST, COMANCHE, TX, 76442",158637612,L,"1507 N AUSTIN, COMANCHE, TX, 76442"
047902,32.105606396914,-98.538036650951,Match,Exact,"425 S TEXAS ST, DE LEON, TX, 76444",158635259,R,"425 S TEXAS ST, DE LEON, TX, 76444"
047903,31.843517024011,-98.398700465091,Match,Non_Exact,"503 MAIN ST, GUSTINE, TX, 76455",158641339,L,"503 W MAIN ST, GUSTINE, TX, 76455"
048901,31.391188971462,-100.400575559316,Match,Exact,"2405 FAIRVIEW SCHOOL RD, SAN ANGELO, TX, 76904",190684808,R,"2405 FAIRVIEW SCHOOL RD, SAN ANGELO, TX, 76904"
049901,33.633627413669,-97.13330102125,Match,Exact,"900 N GRAND AVE, GAINESVILLE, TX, 76240",151319148,R,"900 N GRAND AVE, GAINESVILLE, TX, 76240"
049903,33.482546851578,-97.162589572058,Match,Non_Exact,"106 NEWTON ST, VALLEY VIEW, TX, 76272",151314360,L,"106 NEWTON, VALLEY VIEW, TX, 76272-9716"
049905,33.701634418219,-97.011625395889,Match,Non_Exact,"148 DOZIER ST, CALLISBURG, TX, 76240",151320503,L,"148 DOZIER ST, CALLISBURG, TX, 76240-6826"
049906,33.496132334517,-97.293093386058,Match,Non_Exact,"108 HARGROVE LN, ERA, TX, 76238",606540938,R,"108 HARGROVE ST, ERA, TX, 76238"
049908,33.778324957304,-97.065200954648,Match,Non_Exact,"47 CO RD 198, GAINESVILLE, TX, 76240",151335656,R,"47 C R 198, GAINESVILLE, TX, 76240-1140"
049909,33.867953783234,-97.22379430235,Match,Exact,"1053 CO RD 403, GAINESVILLE, TX, 76240",656280447,L,"1053 CR 403, GAINESVILLE, TX, 76240"
050902,31.432245744201,-97.724989669799,Match,Non_Exact,"311 S LOVERS LN, GATESVILLE, TX, 76528",657331000,R,"311 S LOVERS LN, GATESVILLE, TX, 76528-0759"
050904,31.42053534146,-97.511367473695,Match,Exact,"125 COLLEGE AVE, OGLESBY, TX, 76561",146575759,R,"125 COLLEGE AVE, OGLESBY, TX, 76561"
